Course,Year,Department,Subject,hr/week,Type,Teacher,Trainer,,
B.Tech,1st,EE,Basic Electrical Engineering,4,Theory,TkD,,,
B.Tech,1st,EE,Mathematics IB,4,Theory,RKN,,,
B.Tech,1st,EE,Chemistry I,1,Theory,SSD,,,
B.Tech,1st,EE,Chemistry I Lab (Gr-1),3,Practical,AM,,SN,
B.Tech,1st,EE,Basic Electrical Engineering Lab (Gr-1),2,Practical,SA,AK,SA,AK
B.Tech,1st,EE,Engineering Grapics,5,Practical,HbR,SbK,HbR,SbK
B.Tech,1st,CSE(AI/ML),Mathematics IA,4,Theory,GH,,,
B.Tech,1st,CSE(AI/ML),Applied Physics I,4,Theory,RD,,,
B.Tech,1st,CSE(AI/ML),Basic Electrical Engineering,4,Theory,TkD,,,
B.Tech,1st,CSE(AI/ML),Workshop,1,Theory,SkD,,,
B.Tech,1st,CSE(AI/ML),Basic Electrical Engineering Lab (Gr-1),2,Practical,TkD,AB,TkD,AB
B.Tech,1st,CSE(AI/ML),Applied Physics I Lab (Gr-1),3,Practical,AP,,RD,
B.Tech,1st,CSE(AI/ML),WorKshop (Gr-1),4,Practical,AvK,PrS,SkD,PrS
B.Tech,1st,ME,Mathematics IA,4,Theory,RKN,,,
B.Tech,1st,ME,Applied Physics I,4,Theory,AP,,,
B.Tech,1st,ME,Basic Electrical Engineering,4,Theory,CS,,,
B.Tech,1st,ME,Workshop,1,Theory,AnP,,,
B.Tech,1st,ME,Basic Electrical Engineering Lab (Gr-1),2,Practical,CS,MA,CS,MA
B.Tech,1st,ME,Applied Physics I Lab (Gr-1),3,Practical,RD,,RD,
B.Tech,1st,ME,WorKshop (Gr-1),4,Practical,AnP,SdC,TnS,PM
B.Tech,2nd,EE,Electric Circuit Theory,3,Theory,RK,,,
B.Tech,2nd,EE,Engineering Mechanics,3,Theory,TnS,,,
B.Tech,2nd,EE,Mathematics-III,3,Theory,BKT,,,
B.Tech,2nd,EE,Electromagnetic Field Theory,3,Theory,GG,,,
B.Tech,2nd,EE,Analog Electronics,3,Theory,AR,,,
