Course,Year,Department,Subject,hr/week,Type,Teacher,Trainer,,
Diploma,1st,ME,Applied Chemistry,3,Theory,AM,,,
Diploma,1st,ME,Mathematics-I,3,Theory,BKT,,,
Diploma,1st,ME,Communication Skill in English,2,Theory,SSC,,,
Diploma,1st,ME,Applied Physics,3,Theory,RD,,,
Diploma,1st,ME,Engineering Ghraphics,3,Practical,SKD/RR/,PBM,,
Diploma,1st,ME,Engineering Workshop Practics,3,Practical,NM/RR/DM,PrS/DM,,
Diploma,1st,ME,Applied Chemistry Lab,2,Practical,AM,,,
Diploma,1st,ME,Applied Physics Lab,2,Practical,Guest,,,
Diploma,1st,ME,Communication Skill in English Lab,2,Practical,SSC,,,
Diploma,1st,CSE,Applied Chemistry,3,Theory,AM,,,
Diploma,1st,CSE,Mathematics-I,3,Theory,BKT,,,
Diploma,1st,CSE,Communication Skill in English,2,Theory,CD,,,
Diploma,1st,CSE,Applied Physics,3,Theory,RD,,,
Diploma,1st,CSE,Engineering Ghraphics,3,Practical,HR(Grp1),PbS,TRD(Grp2),SbK
Diploma,1st,CSE,Engineering Workshop Practics,3,Practical,RR,PbM/DM,,
Diploma,1st,CSE,Applied Chemistry Lab,2,Practical,SN,,,
Diploma,1st,CSE,Applied Physics Lab,2,Practical,RD,,,
Diploma,1st,CSE,Communication Skill in English Lab,2,Practical,CD,,,
Diploma,2nd,EE,Introduction to Electric Generation System,3,Theory,AK,,,
Diploma,2nd,EE,DC Machines and Transformers,3,Theory,RRK,,,
Diploma,2nd,EE,Electrical Circuits,3,Theory,RK,,,
Diploma,2nd,EE,Analog and Digital Electronics,3,Theory,TKD,,,
Diploma,2nd,EE,Electrical and Electronics Measurment,3,Theory,SA,,,
Diploma,2nd,EE,Introduction to Electric Generation System Labs,2,Practical,AK,AB,,
Diploma,2nd,EE,DC Machines and Transformers Labs,2,Practical,RRK,DM,,
Diploma,2nd,EE,Elecrical Cicuits Labs,2,Practical,RK,AB,,
Diploma,2nd,EE,Analog and Digital Electronics Labs,2,Practical,GKG,SM,,
Diploma,2nd,EE,Electircal and Electronics Measurment Labs,2,Practical,SA,DM,,
Diploma,2nd,ME,Manufactoring Process 1,3,Theory,AbK,,,
Diploma,2nd,ME,Mech Eng Drawing,2,Theory,HbM,,,
Diploma,2nd,ME,Strength of Material,3,Theory,TrD,,,
Diploma,2nd,ME,Thermal Engineering,3,Theory,NM,,,
Diploma,2nd,ME,Mech. Eng. Materials,3,Theory,RR,,,
Diploma,2nd,ME,Manufactoring Process 1 Practice Lab,"2,2",Practical,AbK,PbM,,
Diploma,2nd,ME,Thermal Engineering Lab,2,Practical,TrD,SbK,,
Diploma,2nd,ME,Mech. Eng. Drawing Practice,"2,2",Practical,HbM,PbM,,
Diploma,2nd,ME,Material Testing Lab,2,Practical,HbM,SdC,,
Diploma,2nd,FPT,Fundamental Chemistry,2,Theory,SKD,,,
Diploma,2nd,FPT,Technology in Food Preservation,2,Theory,JA,,,
Diploma,2nd,FPT,Food Microbiology,2,Theory,JA,,,
Diploma,2nd,FPT,Engg. Thermodynamics & Chem Kinetics,2,Theory,SC,,,
Diploma,2nd,FPT,Unit Operation of Chemical Engineering - I,3,Theory,VK,,,
Diploma,2nd,FPT,Chemistry of Food,2,Theory,SKD,,,
Diploma,2nd,FPT,Food Preservation Lab,"2,2",Practical,MS,,,
Diploma,2nd,FPT,Chemistry of Food Lab,"2,2",Practical,MIM,,,
Diploma,2nd,FPT,Food Microbiology lab,3,Practical,PR,,,
Diploma,2nd,FPT,Unit Operation of Chemical Engineering - I Lab,2,Practical,MS,,,
Diploma,2nd,CSE,Computer Programming,2,Theory,SUD,,,
Diploma,2nd,CSE,Scripting Languages,2,Theory,IW,,,
Diploma,2nd,CSE,Data Structure,3,Theory,TKO,,,
Diploma,2nd,CSE,Computer System Organization,4,Theory,SDM,,,
Diploma,2nd,CSE,Algorithms,3,Theory,DR,,,
Diploma,2nd,CSE,Computer Programming Lab,"2,2",Practical,SB,PS,,
Diploma,2nd,CSE,Scripting Languages Lab,"2,2",Practical,SUD,SNM,,
Diploma,2nd,CSE,Data Structure Lab,2,Practical,TKO,PS,,
Diploma,2nd,CE,Transotation Engg.,2,Theory,PY,,,
Diploma,2nd,CE,Buliding Construction,2,Theory,SB,,,
Diploma,2nd,CE,Basic Surveying,3,Theory,HR,,,
Diploma,2nd,CE,Mechanics of Material,3,Theory,SB,,,
Diploma,2nd,CE,CE Planning and Drawing,1,Theory,HS,,,
Diploma,2nd,CE,Construction of Materials,2,Theory,KY,,,
Diploma,2nd,CE,Concrete Technology,2,Theory,HS,,,
Diploma,2nd,CE,CE Planning and Drawing Lab,"2,2",Practical,PY,,,
Diploma,2nd,CE,Transotation Engg. Lab,2,Practical,PY,,,
Diploma,2nd,CE,Construction of Materials lLab,2,Practical,SB,,,
Diploma,2nd,CE,Mechanics of Material Lab,2,Practical,PY,,,
Diploma,2nd,CE,Concrete Technology Lab,2,Practical,HS,,,
Diploma,3rd,EE,Industrial Automation & Control ,3,Theory,SM,,,
Diploma,3rd,EE,Building Electrification,3,Theory,PM,,,
Diploma,3rd,EE,Microcontroller and its Application,3,Theory,AR,,,
Diploma,3rd,EE,Solar Power Technologies,3,Theory,AK,,,
Diploma,3rd,EE,Solar Power Technologies Lab,2,Practical,AK,AB,,
Diploma,3rd,EE,Building Electrification Lab,2,Practical,PM,DB,,
Diploma,3rd,EE,Mircrocontroller and its Application Lab,2,Practical,AR,MA,,
Diploma,3rd,EE,Industrial Automation and Control Lab,2,Practical,SA,SM,,
Diploma,3rd,ME,Fluid Mechanis and Machinery,3,Theory,SM,,,
Diploma,3rd,ME,Advance Manufactoring Process,3,Theory,AbK,,,
Diploma,3rd,ME,Power Engineering,3,Theory,SM,,,
Diploma,3rd,ME,Elective-Automobile Engineering,2,Theory,TrD,,,
Diploma,3rd,ME,Elective-Material Handling System,2,Theory,Anp,,,
Diploma,3rd,ME,Power Engineering Lab,2,Practical,SM,SbK,,
Diploma,3rd,ME,Fluid Mechanis Lab,2,Practical,AnP,PrS,,
Diploma,3rd,ME,Advance Manufactoring Process Lab,2,Practical,TnS,SdC,,
Diploma,3rd,ME,Automobile Engineering Lab,2,Practical,TrD,SbK,,
Diploma,3rd,FET,Dairy Technology,3,Theory,SC,,,
Diploma,3rd,FET, Food Biotechnology,2,Theory,JA,,,
Diploma,3rd,FET,Technology of Food IV,2,Theory,ABD,,,
Diploma,3rd,FET,Bakery Technology,3,Theory,JA,,,
Diploma,3rd,FET,Food Engineering,2,Theory,VK,,,
Diploma,3rd,FET,Food Safety and Quality Management,2,Theory,MAM,,,
Diploma,3rd,FET,Dairy Technology Lab,"2,2",Practical,PR,,,
Diploma,3rd,FET,Bakery and Confect Tech Lab,"2,2",Practical,MIM,,,
Diploma,3rd,FET,Food Analylis & QC Lab,3,Practical,PR,,,
Diploma,3rd,CSE,Microcontroller and Microprocessor,3,Theory,SR,,,
Diploma,3rd,CSE,IOT,4,Theory,BPT,,,
Diploma,3rd,CSE,Advanced Computer Network,4,Theory,DR,,,
Diploma,3rd,CSE,Theory of Automata,4,Theory,SDM,,,
Diploma,3rd,CSE,Computer Ghraphics,4,Theory,TKO,,,
Diploma,3rd,CSE,Microprocessor and Microcontroller Lab using simulator,2,Practical,SR,PS,,
Diploma,3rd,CE,Water Resource Engg.,2,Theory,KY,,,
Diploma,3rd,CE,Traffic Engg Elective,3,Theory,HS,,,
Diploma,3rd,CE,Building Maintenance,3,Theory,PY,,,
Diploma,3rd,CE,Estimate costing and Valuation,3,Theory,KP,,,
Diploma,3rd,CE,Safety Engg and Management in Construction Sector,2,Theory,KY,,,
Diploma,3rd,CE,Estimate costing and Valuation Practices,2,Practical,KY,,,
Diploma,3rd,CE,Water Resource Engg. Lab,2,Practical,KY,,,
Diploma,3rd,CE,Design of RCC and Steel Structure Practices,2,Practical,SB,,,
