Room,Day,S1,S2,S3,S4,S5,S6,S7,S8
A35,Mon,,Analog and Digital Electronics (TKD),,Introduction to Electric Generation System (AK),--- LUNCH ---,,,
A35,Tue,,,DC Machines and Transformers (RRK),,--- LUNCH ---,Electrical and Electronics Measurment (SA),Introduction to Electric Generation System (AK),Electrical Circuits (RK)
A35,Wed,,,Electrical Circuits (RK),,--- LUNCH ---,Analog and Digital Electronics (TKD),,
A35,Thu,DC Machines and Transformers (RRK),,,Electrical Circuits (RK),--- LUNCH ---,Electrical and Electronics Measurment (SA),,
A35,Fri,,Analog and Digital Electronics (TKD),DC Machines and Transformers (RRK),Introduction to Electric Generation System (AK),--- LUNCH ---,,,Electrical and Electronics Measurment (SA)

A36,Mon,,Solar Power Technologies (AK),Microcontroller and its Application (AR),,--- LUNCH ---,,Industrial Automation & Control  (SM),
A36,Tue,,,,,--- LUNCH ---,,Microcontroller and its Application (AR),Industrial Automation & Control  (SM)
A36,Wed,Microcontroller and its Application (AR),,Solar Power Technologies (AK),,--- LUNCH ---,,,Building Electrification (PM)
A36,Thu,,,,,--- LUNCH ---,,Solar Power Technologies (AK),Building Electrification (PM)
A36,Fri,,,Building Electrification (PM),,--- LUNCH ---,,,Industrial Automation & Control  (SM)

B202,Mon,,Elective-Automobile Engineering (TrD),,,--- LUNCH ---,,Advance Manufactoring Process (AbK),
B202,Tue,,,Advance Manufactoring Process (AbK),,--- LUNCH ---,Power Engineering (SM),,
B202,Wed,,Elective-Automobile Engineering (TrD),Fluid Mechanis and Machinery (SM),,--- LUNCH ---,,Power Engineering (SM),
B202,Thu,,,,Fluid Mechanis and Machinery (SM),--- LUNCH ---,,,Elective-Material Handling System (Anp)
B202,Fri,,Power Engineering (SM),Fluid Mechanis and Machinery (SM),Advance Manufactoring Process (AbK),--- LUNCH ---,Elective-Material Handling System (Anp),,

B204,Mon,,Mech. Eng. Materials (RR),,Manufactoring Process 1 (AbK),--- LUNCH ---,Strength of Material (TrD),,Mech Eng Drawing (HbM)
B204,Tue,Manufactoring Process 1 (AbK),,,,--- LUNCH ---,,Thermal Engineering (NM),
B204,Wed,,Thermal Engineering (NM),Mech Eng Drawing (HbM),,--- LUNCH ---,,,
B204,Thu,,,Thermal Engineering (NM),Strength of Material (TrD),--- LUNCH ---,Mech. Eng. Materials (RR),,
B204,Fri,Mech. Eng. Materials (RR),,Strength of Material (TrD),,--- LUNCH ---,,,Manufactoring Process 1 (AbK)

C22,Mon,CE Planning and Drawing (HS),,Construction of Materials (KY),,--- LUNCH ---,,,
C22,Tue,Concrete Technology (HS),Transotation Engg. (PY),Buliding Construction (SB),Mechanics of Material (SB),--- LUNCH ---,,,Construction of Materials (KY)
C22,Wed,Concrete Technology (HS),Basic Surveying (HR),,,--- LUNCH ---,,,
C22,Thu,Basic Surveying (HR),Transotation Engg. (PY),,,--- LUNCH ---,,Mechanics of Material (SB),
C22,Fri,Mechanics of Material (SB),Basic Surveying (HR),,,--- LUNCH ---,,Buliding Construction (SB),

C23,Mon,,,,Water Resource Engg. (KY),--- LUNCH ---,,,Building Maintenance (PY)
C23,Tue,Estimate costing and Valuation (KP),,,Water Resource Engg. (KY),--- LUNCH ---,Safety Engg and Management in Construction Sector (KY),Traffic Engg Elective (HS),
C23,Wed,Safety Engg and Management in Construction Sector (KY),,Estimate costing and Valuation (KP),,--- LUNCH ---,,Building Maintenance (PY),
C23,Thu,,,,Traffic Engg Elective (HS),--- LUNCH ---,Building Maintenance (PY),,
C23,Fri,,Estimate costing and Valuation (KP),,,--- LUNCH ---,,Traffic Engg Elective (HS),

C24,Mon,,,Applied Chemistry (AM),,--- LUNCH ---,Applied Physics (RD),,
C24,Tue,,Applied Chemistry (AM),,Mathematics-I (BKT),--- LUNCH ---,,,Communication Skill in English (SSC)
C24,Wed,,,,,--- LUNCH ---,,,Communication Skill in English (SSC)
C24,Thu,,,Applied Physics (RD),,--- LUNCH ---,,Mathematics-I (BKT),
C24,Fri,,,Mathematics-I (BKT),Applied Chemistry (AM),--- LUNCH ---,,,Applied Physics (RD)

D12,Mon,Engg. Thermodynamics & Chem Kinetics (SC),,Technology in Food Preservation (JA),Unit Operation of Chemical Engineering - I (VK),--- LUNCH ---,,,
D12,Tue,,Food Microbiology (JA),Fundamental Chemistry (SKD),,--- LUNCH ---,,,
D12,Wed,Food Microbiology (JA),,Engg. Thermodynamics & Chem Kinetics (SC),,--- LUNCH ---,Fundamental Chemistry (SKD),Chemistry of Food (SKD),
D12,Thu,Chemistry of Food (SKD),,Technology in Food Preservation (JA),Unit Operation of Chemical Engineering - I (VK),--- LUNCH ---,,,
D12,Fri,,,,,--- LUNCH ---,Unit Operation of Chemical Engineering - I (VK),,

D24,Mon,Food Engineering (VK),Bakery Technology (JA),Technology of Food IV (ABD),Dairy Technology (SC),--- LUNCH ---, Food Biotechnology (JA),,
D24,Tue,,,,,--- LUNCH ---,Technology of Food IV (ABD),Dairy Technology (SC),
D24,Wed,,,,Food Engineering (VK),--- LUNCH ---,,Bakery Technology (JA),
D24,Thu,,Food Safety and Quality Management (MAM),,Dairy Technology (SC),--- LUNCH ---, Food Biotechnology (JA),,
D24,Fri,,,,Bakery Technology (JA),--- LUNCH ---,,,Food Safety and Quality Management (MAM)

D26,Mon,Data Structure (TKO),Scripting Languages (IW),,,--- LUNCH ---,Algorithms (DR),,
D26,Tue,,Computer System Organization (SDM),,,--- LUNCH ---,Algorithms (DR),Computer Programming (SUD),
D26,Wed,Data Structure (TKO),,,,--- LUNCH ---,Computer Programming (SUD),,Computer System Organization (SDM)
D26,Thu,,,Algorithms (DR),,--- LUNCH ---,,,Computer System Organization (SDM)
D26,Fri,,,Data Structure (TKO),Computer System Organization (SDM),--- LUNCH ---,,,Scripting Languages (IW)

D37,Mon,Advanced Computer Network (DR),,Theory of Automata (SDM),Microcontroller and Microprocessor (SR),--- LUNCH ---,Computer Ghraphics (TKO),,IOT (BPT)
D37,Tue,Theory of Automata (SDM),,Computer Ghraphics (TKO),,--- LUNCH ---,,,IOT (BPT)
D37,Wed,,Advanced Computer Network (DR),,Computer Ghraphics (TKO),--- LUNCH ---,,IOT (BPT),Microcontroller and Microprocessor (SR)
D37,Thu,Advanced Computer Network (DR),,Theory of Automata (SDM),,--- LUNCH ---,,,
D37,Fri,,Computer Ghraphics (TKO),Theory of Automata (SDM),,--- LUNCH ---,Microcontroller and Microprocessor (SR),Advanced Computer Network (DR),IOT (BPT)

D38,Mon,,,Communication Skill in English (SSC),Applied Physics (RD),--- LUNCH ---,,Mathematics-I (BKT),
D38,Tue,Mathematics-I (BKT),Applied Physics (RD),,Applied Chemistry (AM),--- LUNCH ---,,,
D38,Wed,Applied Physics (RD),,,,--- LUNCH ---,,Applied Chemistry (AM),
D38,Thu,,,,Applied Chemistry (AM),--- LUNCH ---,,,
D38,Fri,,,Communication Skill in English (SSC),Mathematics-I (BKT),--- LUNCH ---,,,

