Room,Day,S1,S2,S3,S4,S5,S6,S7,S8
A35,Mon,Introduction to Electric Generation System (AK),,Electrical Circuits (RK),,--- LUNCH ---,,,
A35,Tue,Electrical Circuits (RK),Electrical and Electronics Measurment (SA),Analog and Digital Electronics (TKD),DC Machines and Transformers (RRK),--- LUNCH ---,,,
A35,Wed,Introduction to Electric Generation System (AK),Introduction to Electric Generation System (AK),Electrical and Electronics Measurment (SA),,--- LUNCH ---,,,
A35,Thu,DC Machines and Transformers (RRK),DC Machines and Transformers (RRK),Analog and Digital Electronics (TKD),,--- LUNCH ---,,,
A35,Fri,,Electrical Circuits (RK),Analog and Digital Electronics (TKD),Electrical and Electronics Measurment (SA),--- LUNCH ---,,,

A36,Mon,,,Industrial Automation & Control  (SM),Solar Power Technologies (AK),--- LUNCH ---,,,
A36,Tue,,Building Electrification (PM),Building Electrification (PM),Industrial Automation & Control  (SM),--- LUNCH ---,,,
A36,Wed,Industrial Automation & Control  (SM),Microcontroller and its Application (AR),,Microcontroller and its Application (AR),--- LUNCH ---,,,
A36,Thu,Solar Power Technologies (AK),,,Microcontroller and its Application (AR),--- LUNCH ---,,,
A36,Fri,,Solar Power Technologies (AK),,Building Electrification (PM),--- LUNCH ---,,,

B202,Mon,,,,,--- LUNCH ---,,,
B202,Tue,Power Engineering (SM),,Fluid Mechanis and Machinery (SM),,--- LUNCH ---,,,
B202,Wed,Advance Manufactoring Process (AbK),Advance Manufactoring Process (AbK),,Elective-Material Handling System (Anp),--- LUNCH ---,,,
B202,Thu,Elective-Material Handling System (Anp),Fluid Mechanis and Machinery (SM),Elective-Automobile Engineering (TrD),Advance Manufactoring Process (AbK),--- LUNCH ---,,,
B202,Fri,Fluid Mechanis and Machinery (SM),Elective-Automobile Engineering (TrD),Power Engineering (SM),Power Engineering (SM),--- LUNCH ---,,,

B204,Mon,,,Manufactoring Process 1 (AbK),Strength of Material (TrD),--- LUNCH ---,,,
B204,Tue,Thermal Engineering (NM),Thermal Engineering (NM),Mech Eng Drawing (HbM),Mech. Eng. Materials (RR),--- LUNCH ---,,,
B204,Wed,Mech Eng Drawing (HbM),Strength of Material (TrD),Mech. Eng. Materials (RR),,--- LUNCH ---,,,
B204,Thu,Strength of Material (TrD),Manufactoring Process 1 (AbK),,Thermal Engineering (NM),--- LUNCH ---,,,
B204,Fri,,,Manufactoring Process 1 (AbK),Mech. Eng. Materials (RR),--- LUNCH ---,,,

C22,Mon,CE Planning and Drawing (HS),Buliding Construction (SB),Mechanics of Material (SB),Construction of Materials (KY),--- LUNCH ---,,,
C22,Tue,Transotation Engg. (PY),Construction of Materials (KY),,,--- LUNCH ---,,,
C22,Wed,Mechanics of Material (SB),Transotation Engg. (PY),,Basic Surveying (HR),--- LUNCH ---,,,
C22,Thu,,Buliding Construction (SB),Mechanics of Material (SB),Basic Surveying (HR),--- LUNCH ---,,,
C22,Fri,Basic Surveying (HR),,Concrete Technology (HS),Concrete Technology (HS),--- LUNCH ---,,,

C23,Mon,,,Safety Engg and Management in Construction Sector (KY),Building Maintenance (PY),--- LUNCH ---,,,
C23,Tue,,Estimate costing and Valuation (KP),,Building Maintenance (PY),--- LUNCH ---,,,
C23,Wed,Estimate costing and Valuation (KP),Water Resource Engg. (KY),Traffic Engg Elective (HS),Water Resource Engg. (KY),--- LUNCH ---,,,
C23,Thu,Estimate costing and Valuation (KP),Building Maintenance (PY),Traffic Engg Elective (HS),Safety Engg and Management in Construction Sector (KY),--- LUNCH ---,,,
C23,Fri,,Traffic Engg Elective (HS),,,--- LUNCH ---,,,

C24,Mon,Mathematics-I (BKT),Applied Physics (RD),Applied Chemistry (AM),,--- LUNCH ---,,,
C24,Tue,,Applied Physics (RD),,Mathematics-I (BKT),--- LUNCH ---,,,
C24,Wed,,Communication Skill in English (SSC),,Applied Chemistry (AM),--- LUNCH ---,,,
C24,Thu,Applied Chemistry (AM),,,Mathematics-I (BKT),--- LUNCH ---,,,
C24,Fri,,Communication Skill in English (SSC),,Applied Physics (RD),--- LUNCH ---,,,

D12,Mon,Chemistry of Food (SKD),Technology in Food Preservation (JA),Unit Operation of Chemical Engineering - I (VK),,--- LUNCH ---,,,
D12,Tue,,Engg. Thermodynamics & Chem Kinetics (SC),Unit Operation of Chemical Engineering - I (VK),,--- LUNCH ---,,,
D12,Wed,Fundamental Chemistry (SKD),,,Fundamental Chemistry (SKD),--- LUNCH ---,,,
D12,Thu,Chemistry of Food (SKD),,Unit Operation of Chemical Engineering - I (VK),,--- LUNCH ---,,,
D12,Fri,Food Microbiology (JA),Technology in Food Preservation (JA),Food Microbiology (JA),Engg. Thermodynamics & Chem Kinetics (SC),--- LUNCH ---,,,

D24,Mon,,,,Bakery Technology (JA),--- LUNCH ---,,,
D24,Tue,Technology of Food IV (ABD), Food Biotechnology (JA),Dairy Technology (SC),,--- LUNCH ---,,,
D24,Wed,Bakery Technology (JA), Food Biotechnology (JA),Technology of Food IV (ABD),,--- LUNCH ---,,,
D24,Thu,,Bakery Technology (JA),Dairy Technology (SC),Dairy Technology (SC),--- LUNCH ---,,,
D24,Fri,Food Safety and Quality Management (MAM),Food Engineering (VK),Food Engineering (VK),Food Safety and Quality Management (MAM),--- LUNCH ---,,,

D26,Mon,,,,Computer System Organization (SDM),--- LUNCH ---,,,
D26,Tue,Data Structure (TKO),Computer Programming (SUD),Algorithms (DR),Computer Programming (SUD),--- LUNCH ---,,,
D26,Wed,Computer System Organization (SDM),Computer System Organization (SDM),Scripting Languages (IW),Algorithms (DR),--- LUNCH ---,,,
D26,Thu,,Data Structure (TKO),Algorithms (DR),,--- LUNCH ---,,,
D26,Fri,Computer System Organization (SDM),Scripting Languages (IW),Data Structure (TKO),,--- LUNCH ---,,,

