Room,Day,S1,S2,S3,S4,S5,S6,S7,S8
A35,Mon,Electrical and Electronics Measurment (SA),Electrical and Electronics Measurment (SA),Analog and Digital Electronics (TKD),,--- LUNCH ---,,,
A35,Tue,DC Machines and Transformers (RRK),Electrical Circuits (RK),Introduction to Electric Generation System (AK),Introduction to Electric Generation System (AK),--- LUNCH ---,,,
A35,Wed,,,,,--- LUNCH ---,,,
A35,Thu,Analog and Digital Electronics (TKD),Analog and Digital Electronics (TKD),Electrical Circuits (RK),Electrical and Electronics Measurment (SA),--- LUNCH ---,,,
A35,Fri,Electrical Circuits (RK),DC Machines and Transformers (RRK),DC Machines and Transformers (RRK),,--- LUNCH ---,Introduction to Electric Generation System (AK),,

A36,Mon,,,,,--- LUNCH ---,,,
A36,Tue,Industrial Automation & Control  (SM),Solar Power Technologies (AK),Microcontroller and its Application (AR),,--- LUNCH ---,Industrial Automation & Control  (SM),Solar Power Technologies (AK),
A36,Wed,Building Electrification (PM),Microcontroller and its Application (AR),Industrial Automation & Control  (SM),,--- LUNCH ---,,,
A36,Thu,Microcontroller and its Application (AR),Building Electrification (PM),Building Electrification (PM),,--- LUNCH ---,,,
A36,Fri,Solar Power Technologies (AK),,,,--- LUNCH ---,,,

B202,Mon,,,,,--- LUNCH ---,,,
B202,Tue,Elective-Material Handling System (Anp),Elective-Material Handling System (Anp),Elective-Automobile Engineering (TrD),Power Engineering (SM),--- LUNCH ---,,,
B202,Wed,Power Engineering (SM),Fluid Mechanis and Machinery (SM),Advance Manufactoring Process (AbK),Advance Manufactoring Process (AbK),--- LUNCH ---,,,
B202,Thu,Advance Manufactoring Process (AbK),,,,--- LUNCH ---,,,
B202,Fri,Fluid Mechanis and Machinery (SM),,,,--- LUNCH ---,Elective-Automobile Engineering (TrD),Power Engineering (SM),Fluid Mechanis and Machinery (SM)

B204,Mon,Mech. Eng. Materials (RR),Strength of Material (TrD),,,--- LUNCH ---,,,
B204,Tue,Mech Eng Drawing (HbM),Mech. Eng. Materials (RR),,,--- LUNCH ---,,,
B204,Wed,Strength of Material (TrD),Thermal Engineering (NM),Mech. Eng. Materials (RR),Mech Eng Drawing (HbM),--- LUNCH ---,,,
B204,Thu,Thermal Engineering (NM),Manufactoring Process 1 (AbK),Thermal Engineering (NM),Strength of Material (TrD),--- LUNCH ---,Manufactoring Process 1 (AbK),Manufactoring Process 1 (AbK),
B204,Fri,,,,,--- LUNCH ---,,,

C22,Mon,Basic Surveying (HR),Concrete Technology (HS),CE Planning and Drawing (HS),,--- LUNCH ---,Buliding Construction (SB),,
C22,Tue,Construction of Materials (KY),Mechanics of Material (SB),Basic Surveying (HR),Mechanics of Material (SB),--- LUNCH ---,,,
C22,Wed,,,,,--- LUNCH ---,Transotation Engg. (PY),,
C22,Thu,,,,,--- LUNCH ---,,,
